400
1	2	-21		1	3	8		1	4	94		2	4	-32		1	5	82
2	5	39		4	6	60		1	7	15		4	8	92		1	9	13
2	10	-27		4	10	10		1	11	60		2	11	12		1	12	87
9	12	85		8	13	100		9	13	80		11	14	23		3	15	80
7	16	-31		9	16	87		15	16	4		4	17	7		14	17	64
4	18	46		12	18	10		17	18	23		2	19	84		3	19	18
4	19	49		10	19	78		18	19	4		13	20	62		17	20	84
5	21	2		14	22	82		6	23	65		17	23	63		21	23	100
5	24	79		6	24	3		15	24	74		18	24	39		21	24	20
20	25	5		24	25	43		7	26	87		18	26	37		1	27	9
22	27	25		6	28	-3		16	28	50		8	29	91		3	30	93
11	30	96		15	30	67		20	30	53		21	30	41		3	31	17
25	31	31		17	32	48		24	32	-33		7	33	72		31	33	56
1	34	12		11	34	65		24	34	65		32	34	6		8	35	25
20	35	44		1	36	32		10	36	88		12	36	19		35	36	23
11	37	95		19	37	46		24	37	78		29	37	35		31	37	66
6	38	61		12	39	98		23	39	82		21	40	-52		37	40	56
8	41	26		10	41	13		14	41	54		21	41	52		24	41	42
28	41	93		9	42	65		10	42	6		21	42	14		28	42	74
4	43	15		10	43	83		19	43	69		41	43	69		8	44	13
17	44	100		18	44	68		35	44	32		36	44	53		42	44	79
10	45	95		13	45	25		21	45	38		26	45	25		40	45	76
43	45	0		1	46	40		20	46	33		21	46	45		5	47	16
24	47	61		33	47	85		1	48	70		6	48	23		10	48	39
36	48	47		41	48	84		44	48	27		17	49	89		30	49	7
11	50	41		15	50	24		29	50	20		42	50	94		2	51	25
22	51	37		37	51	62		36	52	25		47	52	4		50	52	15
2	53	9		3	53	16		23	53	0		33	53	13		38	53	84
39	53	-29		51	53	34		1	54	12		7	54	23		20	54	41
22	54	100		23	54	52		51	54	87		7	55	25		11	55	97
13	55	72		22	55	17		40	55	80		47	55	36		49	55	6
51	55	27		2	56	76		5	56	80		7	56	95		12	56	7
47	56	61		32	57	-49		56	57	49		14	58	8		45	58	62
56	58	71		57	58	72		21	59	13		23	59	91		29	59	4
37	59	86		23	60	28		37	60	78		39	60	20		48	60	82
49	60	68		5	61	9		20	61	19		22	61	93		31	61	38
32	61	80		14	62	0		19	62	67		30	62	-18		49	62	43
11	63	61		28	63	7		51	63	8		12	64	43		21	64	76
2	65	49		8	65	32		14	65	25		17	65	88		19	65	92
46	65	70		51	65	-70		3	66	69		28	66	36		33	66	85
39	66	96		41	66	33		63	66	57		21	67	28		45	67	4
56	67	27		66	67	92		3	68	98		17	68	58		26	68	72
52	68	45		62	68	78		29	69	0		48	69	6		53	69	6
55	69	47		4	70	28		27	70	3		29	70	42		46	70	7
48	70	14		59	70	72		61	70	81		63	70	-82		64	70	20
31	71	98		35	71	-94		41	71	21		64	71	56		66	71	24
1	72	3		17	72	13		27	72	23		28	72	83		53	72	9
16	73	54		31	73	59		39	73	10		54	73	47		13	74	-43
34	74	0		38	74	73		55	74	88		5	75	87		6	75	15
30	75	7		54	75	42		60	75	43		6	76	59		36	76	83
65	76	66		71	76	62		22	77	51		30	77	4		31	77	5
36	77	91		45	77	83		54	77	20		55	77	93		58	77	53
68	77	46		6	78	26		32	78	51		33	78	52		44	78	96
50	78	82		63	78	67		68	78	31		70	78	43		12	79	21
18	79	38		34	79	61		62	79	75		67	79	49		18	80	15
34	80	100		46	80	79		16	81	71		24	81	21		28	81	16
31	81	61		40	81	99		47	81	40		56	81	23		70	81	24
21	82	36		37	82	-57		45	82	85		46	82	51		63	82	65
64	82	95		65	82	10		66	82	15		71	82	94		72	82	59
7	83	68		8	83	35		16	83	34		63	83	63		73	83	7
78	83	37		7	84	37		21	84	50		48	84	53		69	84	15
71	84	69		83	84	54		14	85	6		36	85	55		43	85	0
50	85	79		54	85	44		82	85	52		22	86	66		28	86	99
32	86	28		63	86	27		84	86	61		5	87	3		32	87	33
43	87	91		70	87	61		15	88	84		22	88	24		64	88	50
82	88	37		6	89	89		8	89	87		10	89	65		11	89	24
16	89	4		19	89	0		20	89	39		50	89	65		69	89	90
79	89	23		5	90	76		14	90	48		47	90	40		60	90	14
73	90	25		84	90	67		6	91	43		24	91	44		61	91	21
63	91	1		86	91	88		89	91	3		19	92	63		44	92	98
51	92	28		78	92	38		32	93	34		46	93	12		73	93	53
76	93	78		78	93	25		49	94	98		65	94	98		72	94	78
76	94	4		83	94	79		88	94	34		89	94	67		14	95	94
19	95	73		41	95	59		50	95	7		58	95	9		72	95	14
92	95	54		94	95	81		1	96	82		10	96	0		13	96	62
24	96	100		30	96	57		41	96	74		46	96	22		70	96	60
80	96	52		87	96	31		91	96	43		11	97	42		13	97	14
27	97	67		43	97	98		50	97	78		60	97	59		77	97	-9
2	98	29		29	98	45		35	98	6		44	98	72		49	98	10
